Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
2000;18;1,924200058;singlepipette;S2;10/10/2025
1500;18;2,200500011;singlepipette;S2;10/10/2025
1000;18;1,496399999;singlepipette;S2;10/10/2025
750;18;1,247900009;singlepipette;S2;10/10/2025
500;18;0,948800027;singlepipette;S2;10/10/2025
250;18;0,545799971;singlepipette;S2;10/10/2025
125;18;0,327199996;singlepipette;S2;10/10/2025
25;18;0,137600005;singlepipette;S2;10/10/2025
0;18;0,093599997;singlepipette;S2;10/10/2025
2000;1;2,534600019;singlepipette;OT-2;15/10/2025
1500;1;2,027400017;singlepipette;OT-2;15/10/2025
1000;1;1,413300037;singlepipette;OT-2;15/10/2025
750;1;1,015400052;singlepipette;OT-2;15/10/2025
500;1;0,749300003;singlepipette;OT-2;15/10/2025
250;1;0,451799989;singlepipette;OT-2;15/10/2025
125;1;0,296600014;singlepipette;OT-2;15/10/2025
25;1;0,129199997;singlepipette;OT-2;15/10/2025
0;1;0,088200003;singlepipette;OT-2;15/10/2025
2000;2;2,547499895;singlepipette;OT-2;15/10/2025
1500;2;2,01760006;singlepipette;OT-2;15/10/2025
1000;2;1,452299953;singlepipette;OT-2;15/10/2025
750;2;1,128399968;singlepipette;OT-2;15/10/2025
500;2;0,791700006;singlepipette;OT-2;15/10/2025
250;2;0,403600007;singlepipette;OT-2;15/10/2025
125;2;0,285600007;singlepipette;OT-2;15/10/2025
25;2;0,126499996;singlepipette;OT-2;15/10/2025
0;2;0,087399997;singlepipette;OT-2;15/10/2025
2000;3;2,486599922;singlepipette;OT-2;15/10/2025
1500;3;1,678500056;singlepipette;OT-2;15/10/2025
1000;3;1,218999982;singlepipette;OT-2;15/10/2025
750;3;0,872500002;singlepipette;OT-2;15/10/2025
500;3;0,744300008;singlepipette;OT-2;15/10/2025
250;3;0,440699995;singlepipette;OT-2;15/10/2025
125;3;0,273900002;singlepipette;OT-2;15/10/2025
25;3;0,125100002;singlepipette;OT-2;15/10/2025
0;3;0,089599997;singlepipette;OT-2;15/10/2025
2000;4;2,432499886;singlepipette;OT-2;15/10/2025
1500;4;1,717399955;singlepipette;OT-2;15/10/2025
1000;4;1,226999998;singlepipette;OT-2;15/10/2025
750;4;0,856000006;singlepipette;OT-2;15/10/2025
500;4;0,633300006;singlepipette;OT-2;15/10/2025
250;4;0,383899987;singlepipette;OT-2;15/10/2025
125;4;0,271299988;singlepipette;OT-2;15/10/2025
25;4;0,122299999;singlepipette;OT-2;15/10/2025
0;4;0,089400001;singlepipette;OT-2;15/10/2025
2000;5;2,364500046;singlepipette;OT-2;15/10/2025
1500;5;1,732499957;singlepipette;OT-2;15/10/2025
1000;5;1,233899951;singlepipette;OT-2;15/10/2025
750;5;0,827300012;singlepipette;OT-2;15/10/2025
500;5;0,681900024;singlepipette;OT-2;15/10/2025
250;5;0,386900008;singlepipette;OT-2;15/10/2025
125;5;0,275599986;singlepipette;OT-2;15/10/2025
25;5;0,125499994;singlepipette;OT-2;15/10/2025
0;5;0,090899996;singlepipette;OT-2;15/10/2025
2000;6;2,068700075;singlepipette;OT-2;15/10/2025
1500;6;1,647899985;singlepipette;OT-2;15/10/2025
1000;6;1,199699998;singlepipette;OT-2;15/10/2025
750;6;0,840200007;singlepipette;OT-2;15/10/2025
500;6;0,68629998;singlepipette;OT-2;15/10/2025
250;6;0,379099995;singlepipette;OT-2;15/10/2025
125;6;0,272300005;singlepipette;OT-2;15/10/2025
25;6;0,121699996;singlepipette;OT-2;15/10/2025
0;6;0,089400001;singlepipette;OT-2;15/10/2025
2000;7;2,223099947;singlepipette;OT-2;15/10/2025
1500;7;1,761600018;singlepipette;OT-2;15/10/2025
1000;7;1,26030004;singlepipette;OT-2;15/10/2025
750;7;0,894599974;singlepipette;OT-2;15/10/2025
500;7;0,653100014;singlepipette;OT-2;15/10/2025
250;7;0,400200009;singlepipette;OT-2;15/10/2025
125;7;0,28459999;singlepipette;OT-2;15/10/2025
25;7;0,118199997;singlepipette;OT-2;15/10/2025
0;7;0,092;singlepipette;OT-2;15/10/2025
2000;8;2,200799942;singlepipette;OT-2;15/10/2025
1500;8;1,746399999;singlepipette;OT-2;15/10/2025
1000;8;1,272500038;singlepipette;OT-2;15/10/2025
750;8;0,835399985;singlepipette;OT-2;15/10/2025
500;8;0,64139998;singlepipette;OT-2;15/10/2025
250;8;0,398299992;singlepipette;OT-2;15/10/2025
